category,concept_id,fi,score,lookback
Chronic kidney disease,192279,efi,1,3
Chronic kidney disease,4030664,efi,1,3
Chronic kidney disease,44792251,efi,1,3
Chronic kidney disease,44792253,efi,1,3
Chronic kidney disease,44792254,efi,1,3
Chronic kidney disease,4222553,efi,1,3
Chronic kidney disease,4222687,efi,1,3
Chronic kidney disease,4041883,efi,1,3
Chronic kidney disease,4128221,efi,1,3
Chronic kidney disease,4213477,efi,1,3
Chronic kidney disease,44792230,efi,1,3
Chronic kidney disease,44792231,efi,1,3
Chronic kidney disease,3551089,efi,1,3
Chronic kidney disease,46271022,efi,1,3
Chronic kidney disease,43021961,efi,1,3
Chronic kidney disease,4223739,efi,1,3
Diabetes,44803689,efi,1,3
Diabetes,3522925,efi,1,3
Diabetes,44793113,efi,1,3
Diabetes,4223739,efi,1,3
Diabetes,4208076,efi,1,3
Diabetes,4226121,efi,1,3
Diabetes,443731,efi,1,3
Diabetes,4295011,efi,1,3
Diabetes,439770,efi,1,3
Diabetes,4128221,efi,1,3
Diabetes,201820,efi,1,3
Diabetes,443727,efi,1,3
Diabetes,376112,efi,1,3
Diabetes,3551089,efi,1,3
Diabetes,321822,efi,1,3
Diabetes,44790887,efi,1,3
Diabetes,200687,efi,1,3
Diabetes,4219845,efi,1,3
Diabetes,4196141,efi,1,3
Diabetes,4222687,efi,1,3
Diabetes,4224709,efi,1,3
Diabetes,4105016,efi,1,3
Diabetes,4269024,efi,1,3
Diabetes,4198296,efi,1,3
Diabetes,201826,efi,1,3
Diabetes,4228112,efi,1,3
Diabetes,4190441,efi,1,3
Diabetes,4043582,efi,1,3
Diabetes,4105639,efi,1,3
Diabetes,4306250,efi,1,3
Diabetes,4200875,efi,1,3
Diabetes,4151281,efi,1,3
Diabetes,4174977,efi,1,3
Diabetes,4016901,efi,1,3
Diabetes,4225656,efi,1,3
Diabetes,4044391,efi,1,3
Diabetes,44792868,efi,1,3
Diabetes,36714116,efi,1,3
Diabetes,443767,efi,1,3
Diabetes,3572832,efi,1,3
Diabetes,443238,efi,1,3
Diabetes,4130164,efi,1,3
Diabetes,380097,efi,1,3
Diabetes,42537120,efi,1,3
Diabetes,4222553,efi,1,3
Diabetes,3572199,efi,1,3
Diabetes,192279,efi,1,3
Diabetes,42538169,efi,1,3
Diabetes,378743,efi,1,3
Diabetes,4295036,efi,1,3
Diabetes,37018728,efi,1,3
Diabetes,3569043,efi,1,3
Diabetes,37017431,efi,1,3
Diabetes,4191611,efi,1,3
Diabetes,40482801,efi,1,3
Diabetes,376979,efi,1,3
Diabetes,44805212,efi,1,3
Diabetes,4046332,efi,1,3
Diabetes,4226238,efi,1,3
Diabetes,4224254,efi,1,3
Diabetes,4130162,efi,1,3
Diabetes,443730,efi,1,3
Diabetes,37017429,efi,1,3
Diabetes,376114,efi,1,3
Diabetes,43021174,efi,1,3
Diabetes,40484648,efi,1,3
Diabetes,4048028,efi,1,3
Diabetes,4095288,efi,1,3
Diabetes,4099214,efi,1,3
Diabetes,40350836,efi,1,3
Diabetes,3543931,efi,1,3
Diabetes,4146454,efi,1,3
Diabetes,4263090,efi,1,3
Diabetes,37017432,efi,1,3
Diabetes,4235410,efi,1,3
Diabetes,4099653,efi,1,3
Diabetes,4008576,efi,1,3
Diabetes,4054812,efi,1,3
Diabetes,4276582,efi,1,3
Diabetes,4222415,efi,1,3
Diabetes,4235255,efi,1,3
Diabetes,4096668,efi,1,3
Diabetes,4223303,efi,1,3
Diabetes,4130166,efi,1,3
Diabetes,4090231,efi,1,3
Diabetes,4030664,efi,1,3
Diabetes,443733,efi,1,3
Diabetes,40386354,efi,1,3
Diabetes,4228443,efi,1,3
Diabetes,4223463,efi,1,3
Diabetes,4016050,efi,1,3
Diabetes,4099217,efi,1,3
Diabetes,4226354,efi,1,3
Diabetes,3573862,efi,1,3
Diabetes,40391611,efi,1,3
Diabetes,4227210,efi,1,3
Diabetes,40350831,efi,1,3
Diabetes,4225055,efi,1,3
Diabetes,4145827,efi,1,3
Diabetes,377552,efi,1,3
Diabetes,43021173,efi,1,3
Diabetes,4221487,efi,1,3
Diabetes,377821,efi,1,3
Diabetes,43531640,efi,1,3
Diabetes,4096041,efi,1,3
Diabetes,4063569,efi,1,3
Diabetes,4221495,efi,1,3
Diabetes,4235256,efi,1,3
Diabetes,4255401,efi,1,3
Diabetes,4047556,efi,1,3
Diabetes,4099651,efi,1,3
Diabetes,45769830,efi,1,3
Diabetes,4016904,efi,1,3
Diabetes,4256630,efi,1,3
Diabetes,4255392,efi,1,3
Diabetes,376683,efi,1,3
Diabetes,40386745,efi,1,3
Diabetes,40386739,efi,1,3
Diabetes,44803836,efi,1,3
Diabetes,4086751,efi,1,3
Diabetes,4255400,efi,1,3
Diabetes,4221344,efi,1,3
Diabetes,4255399,efi,1,3
